Chinese,English
布,cloth
暴力,violence
付出,Pay
尽量,As much as possible
太多,too much
伤,hurt
互相,each other
繼續,carry on
无论如何,anyway
空气,air
邻居,neighbor
某种,Some kind
想过,Thought
他人,others
规则,rule
我妈,my mother
司机,driver
好奇,curious
城,city
打破,break in
信仰,faith
不可思议,Inconceivable
付,pay
持续,continued
逃,escape
朝,towards
无所谓,Indifferent
协议,protocol
父親,father
假如,if
阁下,Your Mightiness
愿,willing
打赌,bet
城堡,castle
退后,Back
说不定,maybe
彻底,thorough
地图,map
牧师,Priest
墨西哥,Mexico
词,word
犯人,Convict
我爸,My Father
妓,prostitute
运气,luck
不太,Unlikely
华文,Chinese
早晨,in the morning
幹什麼,What
一对,Pair
小孩子,child
裤子,pants
聊,chat
规矩,rule
到来,arrival
真棒,Awesome
逃走,escape
近,near
程序,program
发出,issue
趴下,Get down
白人,White man
本书,The book
中尉,Lieutenant
不肯,Refused
街上,On the street
託,Care
揍,beat
給我,give me
伙,Partner
打架,fight
这太,This too
女王,queen
錯,wrong
救救,Save
三天,Three days
尽,Exhausted
午餐,lunch
则,then
看法,view
喝醉,Drunk
一支,A
权力,that power
也好,Ye
留言,leave a message
脸上,His face
摧毁,destroy
全是,all
故意,deliberately
罗,Luo
打败,defeat
哪裡,where
远离,keep away
狼,Wolf
毕竟,after all
浪漫,romantic
